C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
2,2,2,2,16,0,TM,8,1.0,0.9941176470588236,0.9941176470588236,39.854749999999996
2,2,4,4,16,0,TM,16,1.0,0.9825581395348837,0.9825581395348837,39.854749999999996
2,2,8,8,16,0,TM,32,1.0,0.9659090909090909,0.9659090909090909,39.854749999999996
2,2,16,16,16,0,TM,64,1.0,0.9772727272727273,0.9772727272727273,39.854749999999996
2,2,32,32,16,0,TM,128,1.0,0.9166666666666666,0.9166666666666666,39.854749999999996
2,4,2,4,16,0,TM,16,1.0,0.9825581395348837,0.9825581395348837,79.70949999999999
2,4,4,8,16,0,TM,32,1.0,0.9602272727272727,0.9602272727272727,79.70949999999999
2,4,8,16,16,0,TM,64,1.0,0.9659090909090909,0.9659090909090909,79.70949999999999
2,4,16,32,16,0,TM,128,1.0,0.8958333333333334,0.8958333333333334,79.70949999999999
2,4,32,64,16,0,TM,256,1.0,0.9166666666666666,0.9166666666666666,79.70949999999999
2,8,2,8,16,0,TM,16,0.9941176470588236,0.9602272727272727,0.9545788770053476,79.70949999999999
2,8,4,16,16,0,TM,32,0.9941176470588236,0.9602272727272727,0.9545788770053476,79.70949999999999
2,8,8,32,16,0,TM,64,0.9941176470588236,0.8854166666666666,0.8802083333333334,79.70949999999999
2,8,16,64,16,0,TM,128,0.9941176470588236,0.8958333333333334,0.8905637254901961,79.70949999999999
2,8,32,128,16,0,TM,256,0.9941176470588236,0.6875,0.6834558823529412,79.70949999999999
2,16,2,16,16,0,TM,16,0.9825581395348837,0.9602272727272727,0.9434791226215644,79.70949999999999
2,16,4,32,16,0,TM,32,0.9825581395348837,0.8802083333333334,0.8648558624031008,79.70949999999999
2,16,8,64,16,0,TM,64,0.9825581395348837,0.8854166666666666,0.8699733527131782,79.70949999999999
2,16,16,128,16,0,TM,128,0.9825581395348837,0.671875,0.66015625,79.70949999999999
2,16,32,256,16,0,TM,256,0.9825581395348837,0.6875,0.6755087209302325,79.70949999999999
